epoch,loss_total,loss_style_swd,loss_content_ssm,learning_rate,epoch_time
1,8.667471,0.093392,0.161848,5.00e-04,0.00
2,6.794067,0.071446,0.157160,5.00e-04,0.00
3,6.452572,0.068317,0.155054,5.00e-04,0.00
4,6.468750,0.068502,0.159515,5.00e-04,0.00
5,6.631264,0.070480,0.156483,5.00e-04,0.00
6,6.125035,0.064834,0.155575,5.00e-04,0.00
7,6.041859,0.064147,0.155975,5.00e-04,0.00
8,5.831770,0.061559,0.154981,5.00e-04,0.00
9,6.145667,0.065490,0.155140,5.00e-04,0.00
10,6.002248,0.063692,0.151033,5.00e-04,0.00
11,6.639974,0.070207,0.156428,5.00e-04,0.00
12,6.003096,0.063876,0.153824,5.00e-04,0.00
13,6.059823,0.064282,0.154826,4.99e-04,0.00
14,5.874704,0.061917,0.154884,4.99e-04,0.00
15,6.202853,0.065630,0.156568,4.99e-04,0.00
16,5.660051,0.059677,0.153367,4.99e-04,0.00
17,5.285202,0.055764,0.154435,4.99e-04,0.00
18,6.047006,0.064041,0.152626,4.99e-04,0.00
19,5.991477,0.063297,0.154077,4.99e-04,0.00
