epoch,loss_total,loss_style_swd,loss_content_ssm,learning_rate,epoch_time
15,0.200747,0.003323,0.197424,9.46e-05,0.00
16,0.203921,0.003594,0.200327,9.39e-05,0.00
17,0.206461,0.003515,0.202946,9.31e-05,0.00
18,0.201099,0.003042,0.198057,9.23e-05,0.00
19,0.202838,0.003456,0.199383,9.14e-05,0.00
20,0.204313,0.003519,0.200794,9.05e-05,0.00
21,0.202646,0.003236,0.199410,8.96e-05,0.00
22,0.199975,0.003161,0.196814,8.86e-05,0.00
23,0.207890,0.003873,0.204017,8.76e-05,0.00
24,0.202316,0.003836,0.198480,8.66e-05,0.00
25,0.203105,0.003191,0.199915,8.55e-05,0.00
26,0.200469,0.003156,0.197313,8.44e-05,0.00
27,0.202000,0.003525,0.198476,8.32e-05,0.00
28,0.204032,0.003797,0.200234,8.21e-05,0.00
29,0.204365,0.003352,0.201013,8.08e-05,0.00
30,0.202404,0.003305,0.199099,7.96e-05,0.00
31,0.199177,0.003203,0.195974,7.83e-05,0.00
32,0.201296,0.004198,0.197098,7.70e-05,0.00
33,0.200937,0.003946,0.196991,7.57e-05,0.00
34,0.201770,0.003543,0.198227,7.43e-05,0.00
35,0.200209,0.003366,0.196843,7.30e-05,0.00
36,0.200948,0.003308,0.197640,7.16e-05,0.00
37,0.201817,0.003198,0.198619,7.02e-05,0.00
38,0.201651,0.004002,0.197649,6.87e-05,0.00
39,0.200912,0.003710,0.197202,6.73e-05,0.00
40,0.200186,0.003403,0.196784,6.58e-05,0.00
41,0.198796,0.003146,0.195651,6.43e-05,0.00
42,0.199405,0.003225,0.196179,6.28e-05,0.00
43,0.200290,0.003758,0.196532,6.13e-05,0.00
44,0.197749,0.003251,0.194497,5.98e-05,0.00
45,0.199738,0.003512,0.196226,5.82e-05,0.00
46,0.198753,0.003566,0.195187,5.67e-05,0.00
47,0.202218,0.003854,0.198364,5.52e-05,0.00
48,0.199342,0.003170,0.196172,5.36e-05,0.00
49,0.196956,0.003387,0.193569,5.21e-05,0.00
50,0.199143,0.003364,0.195779,5.05e-05,0.00
51,0.201958,0.003203,0.198755,4.89e-05,0.00
52,0.197914,0.003150,0.194764,4.74e-05,0.00
53,0.198277,0.002969,0.195309,4.58e-05,0.00
54,0.198889,0.003180,0.195709,4.43e-05,0.00
55,0.195981,0.003130,0.192851,4.28e-05,0.00
56,0.198711,0.003268,0.195443,4.12e-05,0.00
57,0.196011,0.003303,0.192708,3.97e-05,0.00
58,0.198695,0.003242,0.195453,3.82e-05,0.00
59,0.196601,0.003045,0.193557,3.67e-05,0.00
60,0.196795,0.003150,0.193644,3.52e-05,0.00
61,0.198243,0.003383,0.194860,3.37e-05,0.00
62,0.200220,0.003171,0.197049,3.23e-05,0.00
63,0.198839,0.003175,0.195663,3.08e-05,0.00
64,0.197706,0.003189,0.194517,2.94e-05,0.00
65,0.198078,0.003135,0.194943,2.80e-05,0.00
66,0.199869,0.003435,0.196433,2.67e-05,0.00
67,0.195840,0.003106,0.192734,2.53e-05,0.00
68,0.197793,0.003176,0.194617,2.40e-05,0.00
69,0.197961,0.003413,0.194548,2.27e-05,0.00
70,0.199583,0.003392,0.196191,2.14e-05,0.00
71,0.198822,0.003100,0.195722,2.02e-05,0.00
72,0.195158,0.003101,0.192057,1.89e-05,0.00
73,0.196089,0.003222,0.192866,1.78e-05,0.00
