epoch,loss_total,loss_style_swd,loss_mse,learning_rate,epoch_time
21,1.657340,0.041820,1.085317,4.98e-04,0.00
22,1.646805,0.042301,1.069256,4.98e-04,0.00
23,1.578880,0.038398,1.050151,4.98e-04,0.00
24,1.599667,0.040433,1.044582,4.98e-04,0.00
25,1.650856,0.042242,1.075620,4.98e-04,0.00
26,1.579049,0.039591,1.033042,4.98e-04,0.00
27,1.624503,0.042550,1.041076,4.98e-04,0.00
28,1.567558,0.039340,1.024909,4.97e-04,0.00
29,1.586505,0.041093,1.018913,4.97e-04,0.00
30,1.556921,0.039194,1.015100,4.97e-04,0.00
