epoch,loss_total,loss_style_swd,loss_mse,learning_rate,epoch_time
1,48.351069,0.089647,29.310303,1.00e-04,0.00
2,45.639148,0.076045,29.435598,1.00e-04,0.00
3,45.406679,0.075655,29.315683,1.00e-04,0.00
4,45.380883,0.075868,29.199329,1.00e-04,0.00
5,45.253650,0.076263,28.938405,1.00e-04,0.00
6,44.036543,0.072811,28.540366,1.00e-04,0.00
7,44.008337,0.074009,28.331769,1.00e-04,0.00
8,43.834072,0.074173,27.978986,1.00e-04,0.00
9,43.225478,0.073991,27.528098,9.99e-05,0.00
10,41.785347,0.069378,26.914399,9.99e-05,0.00
11,40.701788,0.064528,26.961409,9.99e-05,0.00
12,40.080612,0.065197,26.143122,9.99e-05,0.00
13,38.253311,0.063949,24.657906,9.99e-05,0.00
14,35.230483,0.057287,22.938769,9.99e-05,0.00
15,32.392513,0.054023,20.721474,9.98e-05,0.00
16,29.414727,0.050035,18.588525,9.98e-05,0.00
17,27.201696,0.048385,16.765927,9.98e-05,0.00
18,26.335248,0.048521,15.815303,9.98e-05,0.00
19,24.160203,0.042816,14.754469,9.98e-05,0.00
20,24.353872,0.045962,14.259659,9.97e-05,0.00
21,22.980526,0.042166,13.719026,9.97e-05,0.00
22,22.689803,0.043185,13.218996,9.97e-05,0.00
23,22.340015,0.042253,13.074220,9.96e-05,0.00
24,21.493582,0.040264,12.651188,9.96e-05,0.00
25,21.772849,0.040258,12.914668,9.96e-05,0.00
26,20.900580,0.038265,12.440672,9.95e-05,0.00
27,21.096766,0.038325,12.578495,9.95e-05,0.00
28,19.813601,0.035125,12.034470,9.95e-05,0.00
29,20.627935,0.038966,12.002604,9.94e-05,0.00
30,20.144629,0.036512,12.025490,9.94e-05,0.00
31,21.017052,0.041269,11.892161,9.93e-05,0.00
32,20.706757,0.039760,11.856248,9.93e-05,0.00
33,19.901152,0.038259,11.387584,9.93e-05,0.00
34,19.441922,0.036442,11.363976,9.92e-05,0.00
35,19.358076,0.035845,11.345497,9.92e-05,0.00
36,19.244103,0.035754,11.251124,9.91e-05,0.00
37,19.876604,0.040034,11.006385,9.91e-05,0.00
38,19.054091,0.037121,10.858143,9.90e-05,0.00
39,19.230760,0.037509,10.861967,9.90e-05,0.00
40,18.905051,0.036012,10.929318,9.89e-05,0.00
41,19.271598,0.037797,10.923467,9.89e-05,0.00
42,18.638604,0.035061,10.895916,9.88e-05,0.00
43,18.786858,0.036229,10.678394,9.88e-05,0.00
44,18.276376,0.033453,10.767694,9.87e-05,0.00
45,18.872735,0.037313,10.657210,9.86e-05,0.00
46,18.339082,0.034890,10.611115,9.86e-05,0.00
47,19.076931,0.038199,10.582798,9.85e-05,0.00
48,18.685982,0.036133,10.608755,9.84e-05,0.00
49,17.840508,0.032390,10.589729,9.84e-05,0.00
50,18.413633,0.035974,10.415220,9.83e-05,0.00
51,18.829905,0.035476,10.897064,9.82e-05,0.00
52,18.087610,0.034095,10.466549,9.82e-05,0.00
53,18.379039,0.034556,10.661053,9.81e-05,0.00
54,17.945891,0.033397,10.527202,9.80e-05,0.00
55,18.034702,0.033313,10.581077,9.80e-05,0.00
56,18.009693,0.033402,10.493340,9.79e-05,0.00
57,18.165531,0.034116,10.520056,9.78e-05,0.00
58,18.434118,0.035213,10.591702,9.77e-05,0.00
59,18.142733,0.033760,10.569805,9.77e-05,0.00
60,18.590342,0.035925,10.570943,9.76e-05,0.00
61,18.150732,0.034537,10.471151,9.75e-05,0.00
62,18.244484,0.034571,10.478512,9.74e-05,0.00
63,17.694654,0.032198,10.427512,9.73e-05,0.00
64,18.521865,0.035331,10.626446,9.72e-05,0.00
65,18.057258,0.034833,10.314802,9.72e-05,0.00
66,17.581450,0.031955,10.378223,9.71e-05,0.00
67,17.962420,0.033755,10.416733,9.70e-05,0.00
68,17.546863,0.032369,10.327383,9.69e-05,0.00
69,18.143107,0.033998,10.500790,9.68e-05,0.00
70,17.799451,0.032517,10.493090,9.67e-05,0.00
71,17.689613,0.032475,10.455496,9.66e-05,0.00
72,17.606569,0.032453,10.333777,9.65e-05,0.00
73,17.480512,0.031054,10.479098,9.64e-05,0.00
74,18.189976,0.034130,10.526094,9.63e-05,0.00
75,18.154833,0.034474,10.425339,9.62e-05,0.00
76,18.180911,0.033799,10.578203,9.61e-05,0.00
77,18.118664,0.034764,10.408016,9.60e-05,0.00
78,17.792443,0.032987,10.380563,9.59e-05,0.00
79,17.476291,0.031914,10.316072,9.58e-05,0.00
80,17.487771,0.032252,10.255590,9.57e-05,0.00
81,17.612262,0.032108,10.413816,9.56e-05,0.00
82,17.270807,0.030751,10.337890,9.55e-05,0.00
83,17.471035,0.031532,10.364308,9.54e-05,0.00
84,17.704905,0.032160,10.494999,9.53e-05,0.00
85,17.220867,0.030830,10.242003,9.52e-05,0.00
86,17.699791,0.032486,10.447249,9.51e-05,0.00
87,17.736601,0.032471,10.456777,9.50e-05,0.00
88,17.586634,0.032386,10.299761,9.48e-05,0.00
89,17.478585,0.032343,10.245892,9.47e-05,0.00
90,17.595983,0.031915,10.357300,9.46e-05,0.00
91,17.409701,0.031748,10.308478,9.45e-05,0.00
