epoch,loss_total,loss_style_swd,loss_style_swd_weighted,loss_mse,loss_mse_weighted,learning_rate,epoch_time
101,6.239873,0.046364,5.796193,0.128561,0.128561,9.32e-05,0.00
102,6.106626,0.045739,5.720374,0.166174,0.166174,9.31e-05,0.00
103,6.656777,0.048682,6.066755,0.263584,0.263584,9.30e-05,0.00
104,6.555305,0.046827,5.853541,0.311152,0.311152,9.28e-05,0.00
105,6.869011,0.049095,6.122356,0.331091,0.331091,9.27e-05,0.00
106,6.277398,0.046730,5.829061,0.211158,0.211158,9.26e-05,0.00
107,5.813042,0.043583,5.437130,0.187406,0.187406,9.24e-05,0.00
108,6.207745,0.046774,5.844137,0.190213,0.190213,9.23e-05,0.00
109,5.808937,0.043678,5.450272,0.190982,0.190982,9.22e-05,0.00
110,5.770809,0.043355,5.428256,0.193435,0.193435,9.20e-05,0.00
111,5.743520,0.043318,5.407619,0.197920,0.197920,9.19e-05,0.00
112,5.939950,0.044822,5.603061,0.198021,0.198021,9.17e-05,0.00
113,5.968461,0.045175,5.640924,0.202347,0.202347,9.16e-05,0.00
114,5.928598,0.044826,5.601182,0.206722,0.206722,9.14e-05,0.00
115,5.892738,0.044522,5.571062,0.205954,0.205954,9.13e-05,0.00
116,6.180481,0.046877,5.844230,0.209088,0.209088,9.11e-05,0.00
117,5.760417,0.043665,5.441487,0.210258,0.210258,9.10e-05,0.00
118,6.020474,0.045603,5.698158,0.210824,0.210824,9.08e-05,0.00
119,5.698122,0.043017,5.370531,0.211027,0.211027,9.07e-05,0.00
120,5.707707,0.043224,5.400308,0.212832,0.212832,9.05e-05,0.00
121,5.876145,0.044209,5.545442,0.217724,0.217724,9.04e-05,0.00
122,5.782062,0.043654,5.455601,0.217198,0.217198,9.02e-05,0.00
123,5.788755,0.043710,5.470613,0.216647,0.216647,9.01e-05,0.00
124,5.542976,0.041729,5.224537,0.216169,0.216169,8.99e-05,0.00
125,5.624253,0.042659,5.319071,0.217649,0.217649,8.98e-05,0.00
126,5.976184,0.045248,5.656385,0.221104,0.221104,8.96e-05,0.00
127,5.853188,0.044197,5.517154,0.222104,0.222104,8.95e-05,0.00
128,5.739272,0.043320,5.414639,0.222171,0.222171,8.93e-05,0.00
129,5.801836,0.043702,5.474869,0.220767,0.220767,8.91e-05,0.00
130,5.675839,0.042936,5.359668,0.222914,0.222914,8.90e-05,0.00
131,5.541710,0.041853,5.230918,0.222787,0.222787,8.88e-05,0.00
132,5.653310,0.042680,5.333495,0.225205,0.225205,8.86e-05,0.00
133,6.320358,0.048096,6.011225,0.221578,0.221578,8.85e-05,0.00
134,5.885762,0.044644,5.571021,0.223609,0.223609,8.83e-05,0.00
135,5.853318,0.044275,5.541471,0.224341,0.224341,8.81e-05,0.00
136,5.669527,0.042829,5.361126,0.224393,0.224393,8.80e-05,0.00
137,5.665954,0.042883,5.355871,0.225417,0.225417,8.78e-05,0.00
138,6.111389,0.046362,5.788115,0.228966,0.228966,8.76e-05,0.00
139,5.602773,0.042205,5.276155,0.231113,0.231113,8.75e-05,0.00
