epoch,loss_total,loss_style_swd,loss_mse,learning_rate,epoch_time
51,1.929522,0.052056,1.344663,4.91e-04,0.00
52,1.870427,0.055156,1.260539,4.91e-04,0.00
53,1.903786,0.061251,1.229924,4.90e-04,0.00
54,1.795444,0.055278,1.186554,4.90e-04,0.00
55,1.847447,0.062848,1.162617,4.90e-04,0.00
56,1.745014,0.055582,1.134127,4.89e-04,0.00
57,1.761198,0.059317,1.114065,4.89e-04,0.00
58,1.750615,0.060344,1.095271,4.89e-04,0.00
59,1.706433,0.058002,1.074203,4.88e-04,0.00
60,1.739587,0.062413,1.063002,4.88e-04,0.00
61,1.617105,0.053119,1.034495,4.87e-04,0.00
62,1.633761,0.057363,1.008544,4.87e-04,0.00
63,1.603639,0.055937,0.992906,4.87e-04,0.00
64,1.601097,0.056529,0.984675,4.86e-04,0.00
65,1.561937,0.055188,0.956495,4.86e-04,0.00
66,1.522291,0.053325,0.935557,4.85e-04,0.00
67,1.570851,0.057279,0.942024,4.85e-04,0.00
68,1.526483,0.054687,0.924055,4.84e-04,0.00
69,1.557918,0.059397,0.906898,4.84e-04,0.00
70,1.548128,0.058122,0.910480,4.83e-04,0.00
71,1.462141,0.051915,0.884818,4.83e-04,0.00
72,1.501195,0.055738,0.885367,4.82e-04,0.00
73,1.509383,0.056698,0.883115,4.82e-04,0.00
74,1.432945,0.049489,0.878225,4.82e-04,0.00
75,1.439197,0.050858,0.869744,4.81e-04,0.00
76,1.465066,0.054610,0.858287,4.81e-04,0.00
77,1.461530,0.053890,0.861638,4.80e-04,0.00
78,1.398743,0.049461,0.843061,4.79e-04,0.00
79,1.441384,0.053086,0.848740,4.79e-04,0.00
80,1.464760,0.055151,0.850479,4.78e-04,0.00
81,1.444390,0.053128,0.850278,4.78e-04,0.00
82,1.362745,0.046113,0.840188,4.77e-04,0.00
83,1.347159,0.044643,0.838031,4.77e-04,0.00
84,1.411285,0.050807,0.840224,4.76e-04,0.00
85,1.428409,0.052714,0.836752,4.76e-04,0.00
86,1.411406,0.051497,0.834058,4.75e-04,0.00
87,1.362265,0.046651,0.832116,4.75e-04,0.00
88,1.381892,0.049231,0.825968,4.74e-04,0.00
89,1.408034,0.052886,0.816019,4.73e-04,0.00
90,1.355806,0.047157,0.819310,4.73e-04,0.00
91,1.345892,0.047065,0.810612,4.72e-04,0.00
92,1.343721,0.046162,0.818557,4.72e-04,0.00
93,1.366551,0.049045,0.811261,4.71e-04,0.00
94,1.409608,0.052441,0.820945,4.70e-04,0.00
95,1.375440,0.049621,0.814966,4.70e-04,0.00
96,1.342834,0.047553,0.802547,4.69e-04,0.00
97,1.348548,0.048614,0.796907,4.69e-04,0.00
98,1.360923,0.048932,0.806115,4.68e-04,0.00
99,1.397948,0.053184,0.801016,4.67e-04,0.00
100,1.335126,0.047284,0.796540,4.67e-04,0.00
101,1.354424,0.049134,0.796585,4.66e-04,0.00
102,1.409093,0.053851,0.803621,4.65e-04,0.00
103,1.432338,0.056768,0.798250,4.65e-04,0.00
104,1.366556,0.051221,0.789025,4.64e-04,0.00
105,1.374285,0.050542,0.803727,4.63e-04,0.00
106,1.369635,0.051333,0.790444,4.63e-04,0.00
107,1.427149,0.055490,0.805971,4.62e-04,0.00
108,1.339876,0.048347,0.790312,4.61e-04,0.00
109,1.337876,0.047734,0.793554,4.60e-04,0.00
110,1.462001,0.058188,0.813187,4.60e-04,0.00
111,1.319251,0.046261,0.790177,4.59e-04,0.00
112,1.377165,0.051726,0.794633,4.58e-04,0.00
113,1.316057,0.046826,0.780407,4.58e-04,0.00
114,1.385881,0.052020,0.799797,4.57e-04,0.00
115,1.305586,0.045415,0.784592,4.56e-04,0.00
116,1.341773,0.049570,0.779194,4.55e-04,0.00
117,1.296397,0.044890,0.779564,4.55e-04,0.00
118,1.352293,0.049600,0.788501,4.54e-04,0.00
119,1.314861,0.047010,0.777051,4.53e-04,0.00
120,1.322668,0.047379,0.779842,4.52e-04,0.00
121,1.295986,0.045090,0.776782,4.52e-04,0.00
122,1.328063,0.049158,0.769013,4.51e-04,0.00
123,1.310417,0.046744,0.775877,4.50e-04,0.00
124,1.370814,0.052988,0.772619,4.49e-04,0.00
125,1.287409,0.043755,0.782630,4.48e-04,0.00
126,1.358568,0.051261,0.777103,4.48e-04,0.00
127,1.314022,0.047209,0.774407,4.47e-04,0.00
128,1.322908,0.047555,0.779924,4.46e-04,0.00
129,1.313471,0.047837,0.766455,4.45e-04,0.00
130,1.329321,0.048356,0.777583,4.44e-04,0.00
131,1.294643,0.045670,0.769842,4.44e-04,0.00
132,1.344188,0.050543,0.769670,4.43e-04,0.00
133,1.303302,0.047189,0.762573,4.42e-04,0.00
134,1.355531,0.052399,0.761880,4.41e-04,0.00
135,1.314062,0.048056,0.766253,4.40e-04,0.00
136,1.273969,0.045137,0.753666,4.39e-04,0.00
137,1.296649,0.047434,0.753163,4.39e-04,0.00
138,1.325512,0.049447,0.761913,4.38e-04,0.00
139,1.291638,0.046209,0.760961,4.37e-04,0.00
140,1.315798,0.048419,0.761693,4.36e-04,0.00
141,1.275480,0.044465,0.762600,4.35e-04,0.00
142,1.299801,0.047427,0.756642,4.34e-04,0.00
143,1.349268,0.050906,0.770780,4.33e-04,0.00
144,1.344837,0.052364,0.751985,4.32e-04,0.00
145,1.297005,0.047444,0.754050,4.31e-04,0.00
146,1.302145,0.047832,0.754710,4.31e-04,0.00
147,1.324232,0.050169,0.754049,4.30e-04,0.00
148,1.300822,0.047836,0.750622,4.29e-04,0.00
149,1.234350,0.041290,0.751828,4.28e-04,0.00
150,1.277861,0.045288,0.755575,4.27e-04,0.00
151,1.273043,0.044950,0.753237,4.26e-04,0.00
152,1.245735,0.042632,0.750183,4.25e-04,0.00
153,1.235723,0.042224,0.743759,4.24e-04,0.00
154,1.297487,0.048047,0.746954,4.23e-04,0.00
155,1.283827,0.046226,0.752390,4.22e-04,0.00
156,1.295673,0.047479,0.751153,4.21e-04,0.00
157,1.282316,0.046202,0.750694,4.20e-04,0.00
158,1.259391,0.043356,0.757029,4.19e-04,0.00
159,1.297184,0.047327,0.753723,4.18e-04,0.00
160,1.284510,0.046453,0.750795,4.17e-04,0.00
161,1.287494,0.046719,0.751384,4.16e-04,0.00
162,1.283439,0.046896,0.744263,4.15e-04,0.00
163,1.281335,0.046090,0.749780,4.15e-04,0.00
164,1.288592,0.046705,0.752708,4.14e-04,0.00
165,1.273609,0.046273,0.741347,4.13e-04,0.00
166,1.233844,0.042796,0.736401,4.12e-04,0.00
167,1.281117,0.046514,0.745091,4.11e-04,0.00
168,1.268223,0.045517,0.741717,4.10e-04,0.00
169,1.269133,0.045452,0.744219,4.09e-04,0.00
170,1.252361,0.043870,0.743634,4.08e-04,0.00
171,1.263283,0.045450,0.738553,4.06e-04,0.00
172,1.281105,0.046941,0.740883,4.05e-04,0.00
173,1.283457,0.046093,0.753025,4.04e-04,0.00
174,1.238084,0.042713,0.741589,4.03e-04,0.00
175,1.262147,0.045344,0.737732,4.02e-04,0.00
176,1.289432,0.047041,0.748936,4.01e-04,0.00
177,1.286392,0.047630,0.739425,4.00e-04,0.00
178,1.266575,0.045314,0.742823,3.99e-04,0.00
179,1.259857,0.044928,0.740376,3.98e-04,0.00
180,1.263592,0.044791,0.744926,3.97e-04,0.00
181,1.272375,0.046455,0.736731,3.96e-04,0.00
182,1.246195,0.043895,0.736438,3.95e-04,0.00
183,1.241200,0.043698,0.733352,3.94e-04,0.00
184,1.233100,0.042104,0.741458,3.93e-04,0.00
185,1.257668,0.044778,0.739923,3.92e-04,0.00
186,1.243118,0.043176,0.740721,3.91e-04,0.00
187,1.274485,0.046994,0.734339,3.90e-04,0.00
188,1.265738,0.045905,0.735934,3.89e-04,0.00
189,1.300373,0.048720,0.743839,3.87e-04,0.00
190,1.282927,0.047330,0.738931,3.86e-04,0.00
191,1.273334,0.046455,0.737318,3.85e-04,0.00
192,1.273925,0.046625,0.736958,3.84e-04,0.00
193,1.277040,0.047009,0.735225,3.83e-04,0.00
194,1.263199,0.045898,0.734517,3.82e-04,0.00
195,1.213165,0.040587,0.736376,3.81e-04,0.00
196,1.244734,0.044149,0.732619,3.80e-04,0.00
197,1.275750,0.046340,0.742517,3.79e-04,0.00
198,1.244069,0.043730,0.734891,3.78e-04,0.00
199,1.237720,0.043540,0.731360,3.76e-04,0.00
200,1.225858,0.042538,0.729307,3.75e-04,0.00
201,1.296719,0.049141,0.733165,3.74e-04,0.00
202,1.269098,0.046110,0.738139,3.73e-04,0.00
203,1.286124,0.048284,0.731672,3.72e-04,0.00
204,1.250588,0.044728,0.731801,3.71e-04,0.00
205,1.284976,0.048027,0.733591,3.70e-04,0.00
206,1.235604,0.043724,0.727084,3.68e-04,0.00
207,1.275487,0.046432,0.740826,3.67e-04,0.00
208,1.257390,0.045926,0.727122,3.66e-04,0.00
209,1.242126,0.044184,0.729730,3.65e-04,0.00
210,1.259101,0.045607,0.732084,3.64e-04,0.00
211,1.272970,0.047270,0.727828,3.63e-04,0.00
212,1.260728,0.045959,0.730415,3.61e-04,0.00
213,1.265515,0.045995,0.735093,3.60e-04,0.00
214,1.282800,0.048303,0.728369,3.59e-04,0.00
215,1.285191,0.047966,0.734967,3.58e-04,0.00
216,1.228639,0.043636,0.720360,3.57e-04,0.00
217,1.230587,0.043110,0.728714,3.56e-04,0.00
218,1.219402,0.041728,0.731435,3.54e-04,0.00
219,1.262584,0.045876,0.732713,3.53e-04,0.00
220,1.289168,0.048243,0.734531,3.52e-04,0.00
221,1.249667,0.045116,0.726530,3.51e-04,0.00
222,1.208362,0.040671,0.729735,3.50e-04,0.00
223,1.223723,0.042229,0.731461,3.48e-04,0.00
224,1.254536,0.045602,0.725664,3.47e-04,0.00
225,1.234212,0.044063,0.721885,3.46e-04,0.00
226,1.237699,0.043691,0.730065,3.45e-04,0.00
227,1.291209,0.049361,0.725850,3.44e-04,0.00
228,1.237301,0.043386,0.732500,3.42e-04,0.00
229,1.259270,0.046440,0.724284,3.41e-04,0.00
230,1.231814,0.043268,0.727656,3.40e-04,0.00
231,1.237163,0.044102,0.724121,3.39e-04,0.00
232,1.265390,0.046959,0.723768,3.37e-04,0.00
233,1.198570,0.040261,0.725131,3.36e-04,0.00
234,1.230785,0.043461,0.723876,3.35e-04,0.00
235,1.238928,0.044160,0.726617,3.34e-04,0.00
236,1.200135,0.040590,0.723060,3.33e-04,0.00
237,1.232329,0.043892,0.721322,3.31e-04,0.00
238,1.220167,0.042434,0.725093,3.30e-04,0.00
239,1.236476,0.044407,0.720092,3.29e-04,0.00
240,1.247819,0.045231,0.723516,3.28e-04,0.00
241,1.253107,0.045393,0.728625,3.26e-04,0.00
242,1.244284,0.044535,0.726961,3.25e-04,0.00
243,1.216544,0.042469,0.719789,3.24e-04,0.00
244,1.283169,0.048251,0.729476,3.23e-04,0.00
245,1.231302,0.043403,0.725109,3.21e-04,0.00
246,1.243180,0.044056,0.732167,3.20e-04,0.00
247,1.243261,0.044572,0.726454,3.19e-04,0.00
248,1.275449,0.047900,0.725860,3.18e-04,0.00
249,1.247866,0.045283,0.724014,3.16e-04,0.00
250,1.235237,0.044076,0.721954,3.15e-04,0.00
251,1.212378,0.042028,0.719179,3.14e-04,0.00
252,1.224936,0.043440,0.718394,3.13e-04,0.00
253,1.242484,0.044619,0.724792,3.11e-04,0.00
254,1.228902,0.044028,0.716600,3.10e-04,0.00
255,1.255057,0.046386,0.719577,3.09e-04,0.00
256,1.248476,0.045723,0.719406,3.07e-04,0.00
257,1.238976,0.044888,0.718999,3.06e-04,0.00
258,1.201836,0.041409,0.714922,3.05e-04,0.00
259,1.218849,0.042696,0.720728,3.04e-04,0.00
260,1.232867,0.044624,0.715254,3.02e-04,0.00
261,1.227915,0.044264,0.712886,3.01e-04,0.00
262,1.195431,0.041256,0.709485,3.00e-04,0.00
