epoch,loss_total,loss_style_swd,loss_style_swd_weighted,loss_mse,loss_mse_weighted,loss_layout,loss_mse_raw,learning_rate,epoch_time
106,20.986513,8.442991,19.301370,1.311763,1.311763,0.029240,0.524895,1.88e-05,0.00
107,12.720533,8.451349,10.986004,1.356041,1.356041,0.025277,0.486076,1.88e-05,0.00
108,12.467947,8.451445,10.716189,1.371681,1.371681,0.025102,0.482897,1.88e-05,0.00
109,12.447079,8.450135,10.693064,1.372805,1.372805,0.024905,0.479881,1.88e-05,0.00
110,12.451535,8.448539,10.692516,1.376623,1.376623,0.025113,0.479249,1.88e-05,0.00
111,12.450540,8.447736,10.694067,1.373053,1.373053,0.025072,0.476914,1.88e-05,0.00
112,12.452276,8.447565,10.692591,1.376242,1.376242,0.025224,0.477686,1.88e-05,0.00
113,12.452128,8.448512,10.693292,1.373747,1.373747,0.025214,0.473177,1.88e-05,0.00
114,12.451501,8.446056,10.689337,1.377800,1.377800,0.024587,0.473582,1.88e-05,0.00
115,12.456723,8.445508,10.696729,1.374504,1.374504,0.025107,0.473708,1.88e-05,0.00
116,12.450916,8.446490,10.690659,1.374898,1.374898,0.025072,0.473434,1.88e-05,0.00
117,12.456471,8.446081,10.694732,1.376214,1.376214,0.024653,0.471425,1.88e-05,0.00
118,12.452405,8.443886,10.690850,1.375095,1.375095,0.025387,0.473314,1.88e-05,0.00
119,12.456987,8.445330,10.696845,1.374823,1.374823,0.024621,0.472156,1.88e-05,0.00
120,12.452800,8.444417,10.691401,1.375381,1.375381,0.024638,0.471130,1.88e-05,0.00
121,12.455959,8.445369,10.692732,1.375402,1.375402,0.024860,0.467714,1.88e-05,0.00
122,12.457191,8.444769,10.692866,1.376852,1.376852,0.024995,0.469625,1.88e-05,0.00
123,12.454659,8.444155,10.693420,1.373266,1.373266,0.024655,0.466607,1.88e-05,0.00
124,12.456178,8.444277,10.692285,1.376295,1.376295,0.024554,0.467314,1.88e-05,0.00
125,12.455338,8.443484,10.692428,1.375314,1.375314,0.024603,0.467959,1.88e-05,0.00
126,12.459981,8.443967,10.696139,1.376440,1.376440,0.024656,0.467779,1.88e-05,0.00
127,12.452473,8.442856,10.688905,1.374522,1.374522,0.024586,0.463962,1.88e-05,0.00
128,12.457557,8.443177,10.693262,1.375709,1.375709,0.024396,0.464336,1.88e-05,0.00
129,12.461252,8.442187,10.695944,1.376546,1.376546,0.024864,0.466904,1.88e-05,0.00
130,12.458825,8.443122,10.694618,1.375431,1.375431,0.024706,0.465434,1.88e-05,0.00
131,12.457451,8.441940,10.691920,1.376598,1.376598,0.024726,0.465802,1.88e-05,0.00
132,12.455068,8.442667,10.691229,1.374590,1.374590,0.024707,0.464450,1.88e-05,0.00
133,12.459010,8.442173,10.694295,1.374794,1.374794,0.024436,0.461678,1.88e-05,0.00
134,12.452590,8.441484,10.686837,1.376106,1.376106,0.024611,0.463623,1.88e-05,0.00
135,12.464499,8.441102,10.699846,1.374470,1.374470,0.024681,0.462839,1.88e-05,0.00
136,12.455583,8.442124,10.690131,1.374838,1.374838,0.024180,0.459033,1.88e-05,0.00
137,12.462704,8.441674,10.694790,1.376554,1.376554,0.024567,0.459614,1.88e-05,0.00
138,12.454414,8.443183,10.686837,1.377175,1.377175,0.024352,0.460182,1.88e-05,0.00
139,12.461562,8.441124,10.695559,1.375133,1.375133,0.024206,0.458791,1.88e-05,0.00
140,12.458474,8.441146,10.693262,1.373538,1.373538,0.024408,0.457560,1.88e-05,0.00
141,12.458742,8.441728,10.691471,1.376267,1.376267,0.024365,0.459276,1.88e-05,0.00
142,12.463820,8.440505,10.694962,1.377576,1.377576,0.024697,0.461278,1.88e-05,0.00
143,12.461263,8.441411,10.696455,1.372624,1.372624,0.024329,0.456296,1.88e-05,0.00
144,12.461126,8.440501,10.692059,1.377036,1.377036,0.024440,0.458321,1.88e-05,0.00
145,12.458705,8.441047,10.691254,1.374860,1.374860,0.024633,0.456918,1.88e-05,0.00
146,12.463613,8.441609,10.695283,1.375673,1.375673,0.024574,0.456724,1.88e-05,0.00
147,12.457441,8.440060,10.687526,1.378405,1.378405,0.024552,0.459159,1.88e-05,0.00
148,12.461489,8.441105,10.695005,1.373541,1.373541,0.024471,0.455363,1.88e-05,0.00
149,12.464585,8.439836,10.696815,1.374032,1.374032,0.024766,0.455243,1.88e-05,0.00
150,12.458800,8.440322,10.690047,1.375808,1.375808,0.024154,0.454293,1.88e-05,0.00
151,12.465508,8.440814,10.694297,1.378044,1.378044,0.024360,0.454942,1.88e-05,0.00
152,12.460844,8.440157,10.693217,1.374728,1.374728,0.024209,0.455171,1.88e-05,0.00
153,12.461901,8.439961,10.693076,1.374900,1.374900,0.024101,0.451584,1.88e-05,0.00
154,12.461287,8.439839,10.692014,1.375415,1.375415,0.024556,0.453757,1.88e-05,0.00
155,12.461714,8.440160,10.690888,1.377331,1.377331,0.024374,0.454436,1.88e-05,0.00
156,12.465628,8.441619,10.696527,1.375895,1.375895,0.024224,0.453663,1.88e-05,0.00
157,12.463088,8.439918,10.694148,1.375371,1.375371,0.024224,0.453502,1.88e-05,0.00
158,12.460136,8.440282,10.694425,1.371659,1.371659,0.023721,0.449192,1.88e-05,0.00
159,12.461218,8.440113,10.689709,1.376469,1.376469,0.023893,0.448087,1.88e-05,0.00
160,12.468054,8.440008,10.696644,1.376274,1.376274,0.024238,0.450081,1.88e-05,0.00
161,12.462646,8.439378,10.691115,1.376665,1.376665,0.024162,0.450198,1.88e-05,0.00
162,12.461646,8.438871,10.690886,1.376872,1.376872,0.024107,0.452146,1.88e-05,0.00
163,12.464239,8.440247,10.697619,1.370339,1.370339,0.024111,0.445868,1.88e-05,0.00
164,12.466421,8.439845,10.692545,1.379478,1.379478,0.024124,0.450880,1.88e-05,0.00
165,12.463413,8.439321,10.691714,1.375752,1.375752,0.024352,0.448380,1.88e-05,0.00
166,12.465912,8.440213,10.696156,1.374220,1.374220,0.024016,0.447400,1.88e-05,0.00
167,12.461128,8.439790,10.686798,1.378793,1.378793,0.024249,0.448948,1.88e-05,0.00
168,12.464732,8.441006,10.695569,1.372797,1.372797,0.023845,0.444359,1.88e-05,0.00
169,12.464808,8.439386,10.694045,1.374648,1.374648,0.024035,0.446298,1.88e-05,0.00
170,12.464006,8.440549,10.692377,1.376024,1.376024,0.024011,0.447257,1.88e-05,0.00
171,12.467579,8.439166,10.693871,1.376941,1.376941,0.024088,0.445126,1.88e-05,0.00
172,12.468157,8.438895,10.693069,1.378629,1.378629,0.024758,0.449155,1.88e-05,0.00
173,12.461157,8.439053,10.690323,1.374371,1.374371,0.024348,0.447029,1.88e-05,0.00
174,12.464819,8.439019,10.693265,1.375272,1.375272,0.024069,0.446203,1.88e-05,0.00
175,12.465722,8.439472,10.692932,1.377338,1.377338,0.024313,0.449743,1.88e-05,0.00
176,12.464632,8.437969,10.694632,1.373208,1.373208,0.024098,0.445240,1.88e-05,0.00
177,12.466957,8.438208,10.693428,1.376929,1.376929,0.024316,0.446577,1.88e-05,0.00
178,12.464221,8.438958,10.691584,1.376499,1.376499,0.024138,0.447203,1.88e-05,0.00
179,12.466300,8.438216,10.693026,1.376417,1.376417,0.024138,0.445173,1.88e-05,0.00
180,12.463980,8.439233,10.695064,1.371377,1.371377,0.023595,0.441186,1.88e-05,0.00
181,12.464882,8.439864,10.693458,1.373451,1.373451,0.023657,0.440347,1.88e-05,0.00
182,12.469838,8.439078,10.694473,1.376304,1.376304,0.023979,0.439691,1.88e-05,0.00
183,12.472073,8.438091,10.694514,1.380427,1.380427,0.024254,0.445140,1.88e-05,0.00
184,12.462592,8.438410,10.689994,1.374166,1.374166,0.023841,0.440622,1.88e-05,0.00
185,12.468044,8.439743,10.694732,1.376243,1.376243,0.023748,0.442841,1.88e-05,0.00
186,12.464597,8.439427,10.690512,1.376313,1.376313,0.024120,0.442217,1.88e-05,0.00
187,12.465393,8.438453,10.694568,1.371874,1.371874,0.023726,0.438370,1.88e-05,0.00
188,12.470890,8.438292,10.693539,1.378956,1.378956,0.024249,0.442586,1.88e-05,0.00
189,12.467661,8.438968,10.693812,1.375358,1.375358,0.024097,0.441205,1.88e-05,0.00
190,12.467993,8.439190,10.693110,1.376635,1.376635,0.023986,0.440960,1.88e-05,0.00
191,12.467466,8.438391,10.694821,1.374281,1.374281,0.023701,0.440002,1.88e-05,0.00
192,12.463311,8.437447,10.687539,1.378085,1.378085,0.024050,0.443359,1.88e-05,0.00
193,12.467480,8.438637,10.696501,1.372342,1.372342,0.023847,0.439517,1.88e-05,0.00
194,12.467249,8.437557,10.691916,1.375847,1.375847,0.024149,0.439678,1.88e-05,0.00
195,12.467951,8.438543,10.692062,1.378005,1.378005,0.024036,0.442205,1.88e-05,0.00
196,12.462877,8.438031,10.690927,1.372368,1.372368,0.023903,0.438161,1.88e-05,0.00
197,12.476567,8.439196,10.701352,1.375995,1.375995,0.023697,0.437768,1.88e-05,0.00
198,12.466266,8.437628,10.688435,1.377660,1.377660,0.024126,0.437876,1.88e-05,0.00
199,12.470008,8.438074,10.695460,1.374347,1.374347,0.023993,0.435980,1.88e-05,0.00
200,12.468430,8.437633,10.694131,1.373715,1.373715,0.023859,0.434788,1.88e-05,0.00
201,12.468809,8.438399,10.690482,1.378096,1.378096,0.024207,0.437750,1.88e-05,0.00
202,12.466871,8.438328,10.688620,1.378695,1.378695,0.023745,0.437114,1.88e-05,0.00
203,12.466631,8.439102,10.697026,1.369842,1.369842,0.023597,0.435247,1.88e-05,0.00
204,12.472619,8.437461,10.694268,1.379520,1.379520,0.023683,0.438557,1.88e-05,0.00
205,12.465907,8.438054,10.691820,1.375002,1.375002,0.023654,0.438188,1.88e-05,0.00
206,12.468369,8.438112,10.691191,1.376695,1.376695,0.023743,0.434799,1.88e-05,0.00
207,12.466744,8.438079,10.691200,1.376001,1.376001,0.023707,0.436810,1.88e-05,0.00
208,12.468617,8.438524,10.693558,1.374314,1.374314,0.023798,0.434662,1.88e-05,0.00
209,12.467218,8.437701,10.690028,1.377003,1.377003,0.023772,0.436458,1.88e-05,0.00
210,12.473881,8.438092,10.700216,1.372555,1.372555,0.023574,0.432524,1.88e-05,0.00
211,12.471516,8.438041,10.692294,1.379231,1.379231,0.024210,0.437979,1.88e-05,0.00
212,12.466087,8.437448,10.692299,1.372784,1.372784,0.023615,0.433236,1.88e-05,0.00
213,12.473809,8.437348,10.695082,1.377712,1.377712,0.023574,0.433448,1.88e-05,0.00
214,12.468864,8.437988,10.691880,1.376517,1.376517,0.023712,0.435306,1.88e-05,0.00
215,12.465831,8.438138,10.689959,1.374168,1.374168,0.024056,0.433269,1.88e-05,0.00
216,12.472949,8.437972,10.694357,1.376657,1.376657,0.023786,0.431700,1.88e-05,0.00
217,12.467425,8.438674,10.691921,1.373438,1.373438,0.023556,0.430537,1.88e-05,0.00
218,12.471348,8.438334,10.694090,1.375925,1.375925,0.023549,0.432225,1.88e-05,0.00
219,12.475344,8.438008,10.694796,1.379268,1.379268,0.023640,0.432787,1.88e-05,0.00
220,12.469320,8.436792,10.692884,1.374248,1.374248,0.024290,0.433409,1.88e-05,0.00
221,12.471003,8.437163,10.695094,1.374099,1.374099,0.023560,0.431078,1.88e-05,0.00
222,12.473654,8.437463,10.694982,1.376967,1.376967,0.023644,0.432144,1.88e-05,0.00
223,12.467684,8.437795,10.690963,1.375175,1.375175,0.023722,0.431899,1.88e-05,0.00
224,12.465959,8.437673,10.688202,1.376163,1.376163,0.023273,0.430000,1.88e-05,0.00
225,12.474344,8.437207,10.695681,1.375863,1.375863,0.024047,0.431046,1.88e-05,0.00
226,12.472393,8.437265,10.695627,1.375200,1.375200,0.023866,0.433196,1.88e-05,0.00
227,12.470242,8.437209,10.689995,1.378812,1.378812,0.024102,0.434688,1.88e-05,0.00
228,12.465792,8.437839,10.692383,1.370621,1.370621,0.023291,0.427250,1.88e-05,0.00
229,12.474187,8.437017,10.693064,1.378934,1.378934,0.023927,0.432121,1.88e-05,0.00
230,12.472345,8.437456,10.696375,1.374242,1.374242,0.023605,0.431338,1.88e-05,0.00
231,12.469294,8.437389,10.689911,1.377364,1.377364,0.023686,0.430969,1.88e-05,0.00
232,12.473592,8.437565,10.695152,1.375504,1.375504,0.023386,0.427454,1.88e-05,0.00
233,12.470823,8.438087,10.691635,1.376670,1.376670,0.023728,0.429251,1.88e-05,0.00
234,12.472252,8.437407,10.694614,1.375312,1.375312,0.023691,0.431199,1.88e-05,0.00
235,12.468608,8.437576,10.691547,1.374753,1.374753,0.023410,0.429265,1.88e-05,0.00
236,12.473014,8.437694,10.694296,1.375930,1.375930,0.023567,0.428832,1.88e-05,0.00
237,12.467528,8.436608,10.689905,1.374831,1.374831,0.023437,0.428394,1.88e-05,0.00
238,12.473108,8.436122,10.694150,1.375547,1.375547,0.023740,0.428328,1.88e-05,0.00
239,12.475390,8.436841,10.695298,1.376338,1.376338,0.023645,0.427364,1.88e-05,0.00
240,12.471375,8.437171,10.690194,1.377699,1.377699,0.023774,0.428400,1.88e-05,0.00
241,12.471964,8.437256,10.695230,1.373915,1.373915,0.023390,0.427836,1.88e-05,0.00
242,12.472928,8.436277,10.692890,1.376206,1.376206,0.023648,0.427423,1.88e-05,0.00
243,12.472585,8.436697,10.690493,1.379153,1.379153,0.023940,0.430669,1.88e-05,0.00
244,12.472974,8.436182,10.695415,1.374863,1.374863,0.023658,0.429137,1.88e-05,0.00
245,12.471064,8.437512,10.694597,1.373179,1.373179,0.023430,0.426853,1.88e-05,0.00
246,12.471740,8.437457,10.691658,1.376565,1.376565,0.023471,0.426779,1.88e-05,0.00
